Sample_Name,Meat_Type,Campaign,Sampling_Time,Lactate_Dose,Packaging,Amplicon_16S,Amplicon_gyrB,Volatilome_Analysis,Sensorial_Profile,pH,Packaging_Gas_Analysis,Total cfu.g-1,LAB cfu.g-1,Chromametry
C01TB,Poultry,n°1,Gut,None,None,,,,,,,X,X,
C01TD,Poultry,n°1,Primal_cut,None,None,,,,,,,X,X,
C01TE,Poultry,n°1,Spices,None,None,,,,,,,X,X,
C01TG,Poultry,n°1,Fat,None,None,,,,,,,X,X,
C01T0A,Poultry,n°1,T0,Normal_dose,None,X,X,X,,X,x,X,X,X
C01T0B,Poultry,n°1,T0,Half_dose,None,X,X,,,X,x,X,X,
C01T0C,Poultry,n°1,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C01T1A1,Poultry,n°1,T1,Normal_dose,Air,X,X,X,,X,x,X,X,X
C01T1A2,Poultry,n°1,T1,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T1A3,Poultry,n°1,T1,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C01T1B1,Poultry,n°1,T1,Half_dose,Air,X,X,,,X,x,X,X,
C01T1B2,Poultry,n°1,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C01T1B3,Poultry,n°1,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C01T1C1,Poultry,n°1,T1,Zero_dose,Air,X,X,X,,X,x,X,X,X
C01T1C2,Poultry,n°1,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T1C3,Poultry,n°1,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C01T2A1,Poultry,n°1,T2,Normal_dose,Air,X,X,X,,X,x,X,X,X
C01T2A2,Poultry,n°1,T2,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T2A3,Poultry,n°1,T2,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C01T2B1,Poultry,n°1,T2,Half_dose,Air,X,X,,,X,x,X,X,
C01T2B2,Poultry,n°1,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C01T2B3,Poultry,n°1,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C01T2C1,Poultry,n°1,T2,Zero_dose,Air,X,X,X,,X,x,X,X,X
C01T2C2,Poultry,n°1,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T2C3,Poultry,n°1,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C01T3A1,Poultry,n°1,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C01T3A2,Poultry,n°1,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T3A3,Poultry,n°1,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C01T3B1,Poultry,n°1,T3,Half_dose,Air,X,X,,,X,x,X,X,
C01T3B2,Poultry,n°1,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C01T3B3,Poultry,n°1,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C01T3C1,Poultry,n°1,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C01T3C2,Poultry,n°1,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C01T3C3,Poultry,n°1,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C02TB,Poultry,n°2,Gut,None,None,,,,,,,,,
C02TD,Poultry,n°2,Primal_cut,None,None,,,,,,,X,X,
C02TE,Poultry,n°2,Spices,None,None,,,,,,,,,
C02TG,Poultry,n°2,Fat,None,None,,,,,,,X,X,
C02T0A,Poultry,n°2,T0,Normal_dose,None,X,X,X,X,X,x,X,X,X
C02T0B,Poultry,n°2,T0,Half_dose,None,X,X,,,X,x,X,X,
C02T0C,Poultry,n°2,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C02T1A1,Poultry,n°2,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C02T1A2,Poultry,n°2,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C02T1A3,Poultry,n°2,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C02T1B1,Poultry,n°2,T1,Half_dose,Air,X,X,,,X,x,X,X,
C02T1B2,Poultry,n°2,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C02T1B3,Poultry,n°2,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C02T1C1,Poultry,n°2,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C02T1C2,Poultry,n°2,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C02T1C3,Poultry,n°2,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C02T2A1,Poultry,n°2,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C02T2A2,Poultry,n°2,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C02T2A3,Poultry,n°2,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C02T2B1,Poultry,n°2,T2,Half_dose,Air,X,X,,,X,x,X,X,
C02T2B2,Poultry,n°2,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C02T2B3,Poultry,n°2,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C02T2C1,Poultry,n°2,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C02T2C2,Poultry,n°2,T2,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C02T2C3,Poultry,n°2,T2,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C02T3A1,Poultry,n°2,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C02T3A2,Poultry,n°2,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C02T3A3,Poultry,n°2,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C02T3B1,Poultry,n°2,T3,Half_dose,Air,X,X,,,X,x,X,X,
C02T3B2,Poultry,n°2,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C02T3B3,Poultry,n°2,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C02T3C1,Poultry,n°2,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C02T3C2,Poultry,n°2,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C02T3C3,Poultry,n°2,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C03TB,Poultry,n°3,Gut,None,None,,,,,,,X,X,
C03TD,Poultry,n°3,Primal_cut,None,None,,,,,,,X,X,
C03TE,Poultry,n°3,Spices,None,None,,,,,,,X,X,
C03TG,Poultry,n°3,Fat,None,None,,,,,,,X,X,
C03T0A,Poultry,n°3,T0,Normal_dose,None,X,X,X,X,X,x,X,X,X
C03T0B,Poultry,n°3,T0,Half_dose,None,X,X,,,X,x,X,X,
C03T0C,Poultry,n°3,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C03T1A1,Poultry,n°3,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C03T1A2,Poultry,n°3,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C03T1A3,Poultry,n°3,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C03T1B1,Poultry,n°3,T1,Half_dose,Air,X,X,,,X,x,X,X,
C03T1B2,Poultry,n°3,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C03T1B3,Poultry,n°3,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C03T1C1,Poultry,n°3,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C03T1C2,Poultry,n°3,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C03T1C3,Poultry,n°3,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C03T2A1,Poultry,n°3,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C03T2A2,Poultry,n°3,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C03T2A3,Poultry,n°3,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C03T2B1,Poultry,n°3,T2,Half_dose,Air,X,X,,,X,x,X,X,
C03T2B2,Poultry,n°3,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
